phy_fitness,diet_pref,act_level,sleep_hrs,mindfulness,career,gender,daily_avg_steps,daily_avg_calories,is_healthy
3,Vegan,Sedentary,7,10,Artist,1,2020,1831,0
4,Vegan,Lightly Active,7,1,Teacher,0,5154,2190,0
8,Vegetarian,Active,8,10,Freelancer,1,12363,2297,1
2,Pescatarian,Sedentary,8,7,Doctor,0,1664,1943,0
9,Pescatarian,Highly Active,5,7,Business,0,17680,3527,1
2,Keto,Sedentary,8,9,Freelancer,1,4497,2103,0
1,Pescatarian,Sedentary,6,10,Business,1,1434,1784,0
2,Keto,Sedentary,7,5,Artist,0,2193,1702,0
5,Pescatarian,Lightly Active,9,6,Nurse,0,7268,2454,0
9,Pescatarian,Highly Active,8,2,Artist,1,16210,3631,1
6,Vegan,Lightly Active,9,2,Teacher,1,9832,2272,0
9,Keto,Highly Active,5,9,Business,0,16753,3097,1
4,Pescatarian,Lightly Active,5,3,Business,1,9725,2545,0
1,Vegetarian,Sedentary,7,10,Lawyer,1,3251,1696,0
7,Pescatarian,Active,8,3,Freelancer,1,13784,2432,0
8,Pescatarian,Active,6,5,Scientist,0,13507,2575,0
3,Vegan,Sedentary,6,5,Doctor,1,2404,1625,0
2,Keto,Sedentary,6,1,Manager,0,3384,1937,0
7,Non-Vegetarian,Active,9,8,Scientist,1,12540,2394,1
7,Pescatarian,Active,7,8,Engineer,0,11274,3057,1
1,Non-Vegetarian,Sedentary,9,7,Nurse,1,2170,1502,0
9,Vegan,Highly Active,5,9,Artist,0,17484,3474,1
7,Vegetarian,Active,5,8,Lawyer,0,14376,2172,1
7,Non-Vegetarian,Active,8,1,Lawyer,1,12415,2243,0
3,Vegan,Sedentary,8,9,Teacher,0,1951,1642,0
10,Keto,Highly Active,8,8,Freelancer,1,18812,3698,1
2,Vegetarian,Sedentary,5,9,Business,1,2385,1661,0
1,Vegetarian,Sedentary,8,8,Doctor,0,1406,1612,0
2,Pescatarian,Sedentary,5,9,Teacher,1,4244,1936,0
8,Vegan,Active,5,9,Lawyer,1,10905,2124,1
2,Non-Vegetarian,Sedentary,6,3,Manager,0,3689,1760,0
3,Vegetarian,Sedentary,7,5,Lawyer,0,1376,1700,0
8,Vegan,Active,5,8,Scientist,0,12414,2594,1
10,Keto,Highly Active,9,6,Nurse,0,17881,3039,1
7,Pescatarian,Active,9,7,Manager,1,13650,2539,1
1,Pescatarian,Sedentary,9,2,Lawyer,0,3799,1754,0
5,Non-Vegetarian,Lightly Active,8,4,Scientist,0,6041,2105,0
7,Keto,Active,8,6,Scientist,1,10707,3132,1
10,Vegetarian,Highly Active,6,1,Scientist,0,19838,2760,0
4,Non-Vegetarian,Lightly Active,7,4,Scientist,0,7158,2477,0
2,Vegetarian,Sedentary,8,3,Lawyer,0,4962,1868,0
8,Vegan,Active,5,4,Artist,1,10188,2350,0
6,Pescatarian,Lightly Active,8,1,Lawyer,1,8765,2145,0
1,Vegetarian,Sedentary,9,4,Nurse,0,4928,1930,0
1,Non-Vegetarian,Sedentary,8,7,Doctor,0,1330,1789,0
2,Vegetarian,Sedentary,9,8,Doctor,0,2978,1658,0
6,Pescatarian,Lightly Active,5,2,Lawyer,1,5970,2367,0
8,Keto,Active,6,2,Nurse,1,13543,3108,0
6,Keto,Lightly Active,8,1,Doctor,1,9342,2175,0
6,Vegetarian,Lightly Active,7,3,Teacher,0,8095,2424,0
1,Non-Vegetarian,Sedentary,6,4,Manager,1,1590,1553,0
4,Keto,Lightly Active,7,2,Manager,0,9291,2614,0
2,Vegetarian,Sedentary,7,10,Nurse,1,4882,1897,0
6,Non-Vegetarian,Lightly Active,5,1,Nurse,0,5296,1948,0
10,Non-Vegetarian,Highly Active,8,9,Teacher,1,19345,3728,1
6,Pescatarian,Lightly Active,7,4,Engineer,0,8232,2387,0
4,Pescatarian,Lightly Active,8,6,Lawyer,0,9573,2006,0
3,Keto,Sedentary,6,1,Scientist,0,4656,2156,0
4,Pescatarian,Lightly Active,8,3,Nurse,1,9086,1992,0
8,Non-Vegetarian,Active,8,2,Engineer,0,11850,2408,0
1,Vegan,Sedentary,5,9,Artist,1,3765,1811,0
9,Vegetarian,Highly Active,7,10,Doctor,1,16060,3577,1
3,Keto,Sedentary,5,7,Doctor,1,2817,1995,0
1,Keto,Sedentary,6,2,Nurse,1,1424,1818,0
3,Pescatarian,Sedentary,7,1,Nurse,1,2880,1726,0
8,Vegetarian,Active,7,5,Scientist,0,12776,2604,1
9,Non-Vegetarian,Highly Active,5,6,Business,1,19607,3424,1
6,Vegetarian,Lightly Active,5,8,Manager,1,5913,2198,0
2,Non-Vegetarian,Sedentary,9,4,Engineer,0,2020,1637,0
8,Non-Vegetarian,Active,5,6,Scientist,1,13801,2728,0
6,Vegan,Lightly Active,9,1,Scientist,0,9811,2194,0
8,Vegan,Active,8,6,Engineer,0,14524,2421,1
8,Vegetarian,Active,5,10,Manager,1,14269,2436,1
9,Vegetarian,Highly Active,7,7,Artist,0,15696,3741,1
10,Keto,Highly Active,6,9,Freelancer,1,18363,3389,1
5,Vegetarian,Lightly Active,9,6,Business,1,7550,2412,0
3,Vegetarian,Sedentary,6,7,Engineer,0,4571,1559,0
1,Vegan,Sedentary,8,5,Lawyer,0,1214,1692,0
4,Vegan,Lightly Active,5,1,Teacher,0,8825,1843,0
